cell,fill,n,mean_diff,t_diff,hac_t_diff,hac_lag,dSharpe,pct_draws_positive,pctile_lo,pctile_hi,basic_lo,basic_hi
T1 sign(tv_hat - iv),mid,866.0,-0.05743768773327546,-1.3673487220968994,-1.4899267953813535,14.0,-0.8129877792567359,6.5,-1.799047453883474,0.21754782852634327,-1.843523387039815,0.17307189537000212
T2 payoff > mid (tv_hat),mid,866.0,-0.06162617437907939,-1.4620314851592657,-1.6139980954213176,14.0,-0.8720347909930364,4.9,-1.8304802563190514,0.1269480308798178,-1.8710176128658906,0.08641067433297867
T2h payoff vs touch (tv_hat),mid,866.0,-0.05058901073710522,-1.2490678144889849,-1.328121642705021,14.0,-0.6738359656257124,10.75,-1.6763119941039284,0.3531083517219934,-1.700780282973418,0.3286400628525037
T2b payoff > mid (rv_hat),mid,866.0,-0.0014154865049442562,-0.4402757445624546,-0.44122711826972555,14.0,-0.020135390319681305,28.249999999999996,-0.1125791517978683,0.06331293483577549,-0.1035837154751381,0.07230837115850569
T2bh payoff vs touch (rv_hat),mid,866.0,-0.0028303553375133013,-0.21255232681720232,-0.1936267519091926,14.0,0.046650637352372355,59.550000000000004,-0.40390408447523235,0.47482731553581253,-0.38152604083106784,0.49720535917997705
T3 sign(f3 - iv),mid,553.0,-0.13799407143368092,-2.1577502098368146,-2.3289312441755157,12.0,-2.0622454667269947,0.6,-3.943187542298001,-0.3014745206426636,-3.823016412811326,-0.18130339115598826
T1 sign(tv_hat - iv),crossed,866.0,-0.05797184085811216,-1.376772758067411,-1.4992133035614033,14.0,-0.8225336196876336,6.25,-1.8110832850048006,0.20563925760033785,-1.850706496975605,0.16601604562953343
T2 payoff > mid (tv_hat),crossed,866.0,-0.06215869108576103,-1.4711583404855053,-1.622954495547094,14.0,-0.8805643979433998,4.5,-1.8384440858680902,0.11415617678586715,-1.8752849726726668,0.07731528998129056
T2h payoff vs touch (tv_hat),crossed,866.0,-0.04665784779655515,-1.149335193684572,-1.2215503280273714,14.0,-0.6518740461655905,11.600000000000001,-1.640132747371898,0.3706130896096641,-1.6743611819408453,0.336384655040717
T2b payoff > mid (rv_hat),crossed,866.0,-0.0014115030222184575,-0.4387968935670539,-0.43974040224722016,14.0,-0.02000081516949081,28.249999999999996,-0.11217009528917854,0.06346674660341597,-0.10346837694239759,0.07216846495019692
T2bh payoff vs touch (rv_hat),crossed,866.0,0.0020739320969652936,0.15361025480950838,0.14120432764623567,14.0,0.09200507416640287,66.55,-0.35874959251574395,0.5135931937044425,-0.32958304537163674,0.5427597408485497
T3 sign(f3 - iv),crossed,553.0,-0.13738796936508654,-2.1471507779431116,-2.317634625774177,12.0,-2.0765296045573156,0.6,-3.976127921137872,-0.30122243649131186,-3.8518367726233196,-0.17693128797675906
