cell,fill,n,long_share_pct,flat_share_pct,Sharpe_real,pctile,placebo_median,placebo_p05,placebo_p95
T2bh payoff vs touch (rv_hat),mid,866.0,33.94919168591224,12.702078521939955,1.3849722377753662,99.45,0.04352872663072653,-0.832824922879412,0.9217583025878296
T2bh payoff vs touch (rv_hat),crossed,866.0,33.94919168591224,12.702078521939955,0.9615927550590708,99.55000000000001,-0.3930915943587516,-1.2553404299714481,0.4754580346563228
