hhmm,n,mean_RV,mean_r2,ratio_of_means,median_ratio,pct_r2_gt_RV,n_zero_r2
10:30,5683.0,1.0296706530132953e-05,9.504977812209815e-06,1.083296219472086,2.293139188545653,30.300897413338024,12.0
11:00,5683.0,7.3192800018002066e-06,6.935599903423949e-06,1.0553203909854783,2.193632716306709,30.881576632060533,10.0
11:30,5684.0,5.9890356846998364e-06,5.404200312639504e-06,1.1082186703354615,2.281240432023335,29.574243490499647,14.0
12:00,5685.0,5.178463727186473e-06,4.513817137899659e-06,1.1472471234393167,2.311108731448683,28.84784520668426,15.0
12:30,5685.0,4.6089394049498105e-06,4.091270197839812e-06,1.1265301928441018,2.4187022518192762,28.038698328935794,23.0
13:00,5685.0,4.303253137476375e-06,3.75061388697517e-06,1.1473463457329922,2.5895135209637226,26.420404573438873,21.0
13:30,5685.0,4.636825268882164e-06,3.856479976302452e-06,1.2023465173875731,2.4418790311200915,28.073878627968334,18.0
14:00,5685.0,4.956313087917064e-06,4.4661944994999055e-06,1.1097396426582047,2.4298256697074803,28.707124010554093,18.0
14:30,5685.0,6.829388828855289e-06,5.71385732225207e-06,1.1952326499751558,2.342661570894932,29.850483729111698,10.0
15:00,5685.0,7.0901889303895096e-06,6.23764404908224e-06,1.1366773856601686,2.3784658806353978,29.058927000879507,7.0
15:30,5685.0,7.949705754697946e-06,8.157023252219091e-06,0.9745841723002635,2.37634645300795,29.516270888302547,19.0
16:00,5685.0,9.747515667745641e-06,1.2748612381038855e-05,0.7645942457426366,1.9594883219363513,34.67018469656992,14.0
