cell,fill,n,mean,t,Sharpe,n_buy,pct_buy,n_flat,days_differ_from_T0,hit_rate,mean_pts,Sharpe_pts
T0 sign(rv_hat - iv),mid,866.0,0.0947363520468904,2.480956577175688,1.3383216004229939,346.0,39.953810623556585,0.0,0.0,0.5438799076212472,0.2271478125012499,0.45612446429265074
T1 sign(tv_hat - iv),mid,866.0,0.037298664313614935,0.9738544146812917,0.5253338211662579,288.0,33.25635103926097,0.0,140.0,0.5484988452655889,-0.1538814995738981,-0.30893287650336504
T2 payoff > mid (tv_hat),mid,866.0,0.03311017766781102,0.8643941234602253,0.4662868094299575,288.0,33.25635103926097,0.0,142.0,0.546189376443418,-0.1569652266748783,-0.3151261930441766
T2h payoff vs touch (tv_hat),mid,866.0,0.04414734130978518,1.2318115508021605,0.6644856347972814,241.0,27.829099307159353,100.0,193.0,0.49191685912240185,-0.0931027212092012,-0.193271925374095
T2b payoff > mid (rv_hat),mid,866.0,0.09332086554194614,2.4436299517727775,1.3181862101033126,349.0,40.300230946882216,0.0,3.0,0.5427251732101617,0.22472309582709715,0.45125154861630506
T2bh payoff vs touch (rv_hat),mid,866.0,0.0919059967093771,2.5674366919195775,1.3849722377753662,294.0,33.94919168591224,110.0,110.0,0.4745958429561201,0.21395959729204,0.455393516384335
T3 sign(f3 - iv),mid,866.0,-0.02633545149878942,-0.9108888208456055,-0.4913678037482141,553.0,63.8568129330254,313.0,634.0,0.2390300230946882,-0.2964113006759736,-0.8276760063604
T0 sign(rv_hat - iv),crossed,866.0,0.06136656537073233,1.6120260449056047,0.8695876808926679,346.0,39.953810623556585,0.0,0.0,0.5438799076212472,-0.004896060079680304,-0.009683294991878219
T1 sign(tv_hat - iv),crossed,866.0,0.0033947245126201833,0.0872279746456758,0.047054061205034275,288.0,33.25635103926097,0.0,140.0,0.5484988452655889,-0.3859253800699948,-0.7606637890456143
T2 payoff > mid (tv_hat),crossed,866.0,-0.0007921257150287056,-0.02034844117751855,-0.01097671705073188,288.0,33.25635103926097,0.0,142.0,0.546189376443418,-0.3890091073430438,-0.7667525535291033
T2h payoff vs touch (tv_hat),crossed,866.0,0.014708717574177181,0.4035936308927917,0.21771363472707744,241.0,27.829099307159353,100.0,193.0,0.49191685912240185,-0.29307385053976026,-0.5969490469356957
T2b payoff > mid (rv_hat),crossed,866.0,0.05995506234851388,1.5749488925022213,0.8495868657231771,349.0,40.300230946882216,0.0,3.0,0.5427251732101617,-0.007320776616177988,-0.014478639163708581
T2bh payoff vs touch (rv_hat),crossed,866.0,0.06344049746769764,1.7825834010855615,0.9615927550590708,294.0,33.94919168591224,110.0,110.0,0.4745958429561201,0.02192726817334772,0.04599724098808996
T3 sign(f3 - iv),crossed,866.0,-0.041284418793159985,-1.4622066257095072,-0.7887694325131576,553.0,63.8568129330254,313.0,634.0,0.2390300230946882,-0.4027334703584191,-1.1227282906825564
