cell,fill,n,mean,t,Sharpe,n_buy,pct_buy,days_differ_from_T0,mean_pts
T0 sign(rv_hat - iv),mid,553.0,0.09675265914082079,2.1441017287175512,1.4473817480008133,232.0,41.952983725135624,0.0,0.4612354081642779
T1 sign(tv_hat - iv),mid,553.0,0.0906051064164985,2.006840021413218,1.3547228563116804,208.0,37.613019891500905,78.0,0.48819418706902545
T2 payoff > mid (tv_hat),mid,553.0,0.09422174294452743,2.0875661938079415,1.4092172802213039,207.0,37.43218806509946,79.0,0.5060965380552234
T2h payoff vs touch (tv_hat),mid,553.0,0.0945627290009248,2.2384771198246827,1.5110901144086903,183.0,33.09222423146474,110.0,0.5319200789195504
T2b payoff > mid (rv_hat),mid,553.0,0.09815263868280683,2.1753902453906244,1.4685031469288916,234.0,42.31464737793852,2.0,0.4681977864092125
T2bh payoff vs touch (rv_hat),mid,553.0,0.10003737350592076,2.316421437525826,1.5637066396835848,208.0,37.613019891500905,57.0,0.5127613539613823
T3 sign(f3 - iv),mid,553.0,-0.0412414122928601,-0.9108380453653248,-0.6148637187261815,553.0,100.0,321.0,-0.46418116887051203
T0 sign(rv_hat - iv),crossed,553.0,0.07273642022426094,1.6133480890151668,1.0890950489598517,232.0,41.952983725135624,0.0,0.2947345102781844
T1 sign(tv_hat - iv),crossed,553.0,0.066523757174271,1.4698050979643913,0.9921959594634756,208.0,37.613019891500905,78.0,0.321693282123069
T2 payoff > mid (tv_hat),crossed,553.0,0.07014039370229994,1.550051458383187,1.0463664849837973,207.0,37.43218806509946,79.0,0.3395956331092669
T2h payoff vs touch (tv_hat),crossed,553.0,0.0734373847029761,1.7353044205179542,1.1714220047689172,183.0,33.09222423146474,110.0,0.38350235909277447
T2b payoff > mid (rv_hat),crossed,553.0,0.07414263791460239,1.6448895093949532,1.1103871712282432,234.0,42.31464737793852,2.0,0.30169688916982407
T2bh payoff vs touch (rv_hat),crossed,553.0,0.07840444684169748,1.818461539898588,1.2275574461035246,208.0,37.613019891500905,57.0,0.3631230221411203
T3 sign(f3 - iv),crossed,553.0,-0.06465154914082556,-1.46275171742098,-0.9874345555974642,553.0,100.0,321.0,-0.6306820711218643
