block,row,har_ma_1_x_open,har_ma_1_x_close,har_ma_5_x_open,har_ma_5_x_close,har_ma_25_x_open,har_ma_25_x_close,har_ma_125_x_open,har_ma_125_x_close,har_ma_625_x_open,har_ma_625_x_close,har_ma_3125_x_open,har_ma_3125_x_close,cumrv_x_close,har5rank_x_close
37,65760,-0.030140,0.032760,-0.000000,0.000000,0.000000,0.055441,0.000000,0.027557,0.000000,0.000000,-0.000000,0.027653,-0.002977,-0.048479
38,66240,-0.029867,0.032016,-0.000000,0.000000,0.000000,0.057286,0.000000,0.027914,0.000000,0.000000,-0.000000,0.026327,-0.002967,-0.048142
39,66720,-0.029295,0.031415,-0.000000,0.000000,0.000000,0.058710,0.000000,0.028752,0.000000,0.000000,-0.000000,0.023448,-0.002943,-0.049597
40,67200,-0.028123,0.032007,-0.000000,0.000000,0.000000,0.057147,0.000000,0.030811,0.000000,0.000000,-0.000000,0.023610,-0.002985,-0.049421
41,67680,-0.028990,0.031961,-0.000000,0.000000,-0.000000,0.058829,0.000000,0.030755,0.000000,0.000000,-0.000000,0.023048,-0.003009,-0.049686
42,68160,-0.029117,0.028741,-0.000000,0.000000,-0.000000,0.062847,0.000000,0.032417,0.000000,0.000000,-0.000000,0.023497,-0.003111,-0.049126
43,68640,-0.027843,0.027433,-0.000000,0.000000,-0.000000,0.067246,0.000000,0.033446,0.000000,0.000000,-0.000000,0.020226,-0.003026,-0.050288
44,69120,-0.027515,0.026356,-0.000000,0.000000,-0.000000,0.067181,0.000000,0.032573,0.000000,0.000000,-0.000000,0.019234,-0.002940,-0.050537
45,69600,-0.027978,0.026358,-0.000000,0.000000,-0.000000,0.068843,0.000000,0.032120,0.000000,0.000000,-0.000000,0.017300,-0.002910,-0.051991
46,70080,-0.029012,0.024583,-0.000000,0.000000,-0.000000,0.070189,0.000000,0.034108,0.000000,0.000000,-0.000000,0.017815,-0.002971,-0.051612
47,70560,-0.026353,0.022003,-0.000000,0.000000,-0.000000,0.075322,0.000000,0.034170,0.000000,0.000000,-0.000000,0.018980,-0.003131,-0.051359
48,71040,-0.026936,0.019915,-0.000000,0.000000,0.000000,0.076954,0.000000,0.035154,0.000000,0.000000,-0.000000,0.017932,-0.003090,-0.051314
49,71520,-0.027477,0.020631,-0.000000,0.000000,0.000000,0.075439,0.000000,0.034967,0.000000,0.000000,-0.000000,0.018268,-0.003054,-0.051451
50,72000,-0.026334,0.021124,-0.000000,0.000000,0.000000,0.075100,0.000000,0.035265,0.000000,0.000000,-0.000000,0.017611,-0.003005,-0.052051
